18009 silly gunzTarPerm modes [ '777', '666' ]
23862 silly gunzTarPerm extractEntry test/error-on-broken.js
23863 silly gunzTarPerm modified mode [ 'test/error-on-broken.js', 420, 438 ]
23864 silly gunzTarPerm extractEntry test/extract-move.js
23865 silly gunzTarPerm modified mode [ 'test/extract-move.js', 420, 438 ]
23866 silly gunzTarPerm extractEntry assignWith.js
23867 silly gunzTarPerm modified mode [ 'assignWith.js', 420, 438 ]
23868 silly gunzTarPerm extractEntry compact.js
23869 silly gunzTarPerm modified mode [ 'compact.js', 420, 438 ]
23870 silly gunzTarPerm extractEntry test/index.js
23871 silly gunzTarPerm modified mode [ 'test/index.js', 420, 438 ]
23872 silly gunzTarPerm extractEntry test/name.js
23873 silly gunzTarPerm modified mode [ 'test/name.js', 420, 438 ]
23874 silly gunzTarPerm extractEntry test/test2.js
23875 silly gunzTarPerm modified mode [ 'test/test2.js', 420, 438 ]
23876 silly gunzTarPerm extractEntry test/stringify.js
23877 silly gunzTarPerm modified mode [ 'test/stringify.js', 420, 438 ]
23878 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\json-parse-helpfulerror-f468802b\node_modules is being purged
23879 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\json-parse-helpfulerror-f468802b\node_modules
23880 silly gunzTarPerm extractEntry collection/partition.js
23881 silly gunzTarPerm modified mode [ 'collection/partition.js', 420, 438 ]
23882 silly gunzTarPerm extractEntry collection/foldr.js
23883 silly gunzTarPerm modified mode [ 'collection/foldr.js', 420, 438 ]
23884 silly gunzTarPerm extractEntry collection/partition.js
23885 silly gunzTarPerm modified mode [ 'collection/partition.js', 420, 438 ]
23886 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\run-async-92cd7ac4\node_modules is being purged
23887 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\run-async-92cd7ac4\node_modules
23888 silly gunzTarPerm extractEntry lib/copy/copy.js
23889 silly gunzTarPerm modified mode [ 'lib/copy/copy.js', 420, 438 ]
23890 silly gunzTarPerm extractEntry lib/copy/index.js
23891 silly gunzTarPerm modified mode [ 'lib/copy/index.js', 420, 438 ]
23892 silly gunzTarPerm extractEntry lib/schemas/response.json
23893 silly gunzTarPerm modified mode [ 'lib/schemas/response.json', 420, 438 ]
23894 silly gunzTarPerm extractEntry lib/schemas/timings.json
23895 silly gunzTarPerm modified mode [ 'lib/schemas/timings.json', 420, 438 ]
23896 silly gunzTarPerm extractEntry test/race.js
23897 silly gunzTarPerm modified mode [ 'test/race.js', 420, 438 ]
23898 silly gunzTarPerm extractEntry test/rsa-public-key.tests.js
23899 silly gunzTarPerm modified mode [ 'test/rsa-public-key.tests.js', 420, 438 ]
23900 silly gunzTarPerm extractEntry test/jwt.hs.tests.js
23901 silly gunzTarPerm modified mode [ 'test/jwt.hs.tests.js', 420, 438 ]
23902 silly gunzTarPerm extractEntry lib/winston/config/syslog-config.js
23903 silly gunzTarPerm modified mode [ 'lib/winston/config/syslog-config.js', 420, 438 ]
23904 silly gunzTarPerm extractEntry lib/winston/transports/console.js
23905 silly gunzTarPerm modified mode [ 'lib/winston/transports/console.js', 420, 438 ]
23906 silly gunzTarPerm extractEntry lib/mkdirs/win32.js
23907 silly gunzTarPerm modified mode [ 'lib/mkdirs/win32.js', 420, 438 ]
23908 silly gunzTarPerm extractEntry lib/move/index.js
23909 silly gunzTarPerm modified mode [ 'lib/move/index.js', 420, 438 ]
23910 silly gunzTarPerm extractEntry collection/partition.js
23911 silly gunzTarPerm modified mode [ 'collection/partition.js', 420, 438 ]
23912 silly gunzTarPerm extractEntry collection/foldl.js
23913 silly gunzTarPerm modified mode [ 'collection/foldl.js', 420, 438 ]
23914 silly gunzTarPerm extractEntry collection/foldl.js
23915 silly gunzTarPerm modified mode [ 'collection/foldl.js', 420, 438 ]
23916 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\extsprintf-1b9fe57e\node_modules is being purged
23917 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\extsprintf-1b9fe57e\node_modules
23918 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\extend-37718a5f\node_modules is being purged
23919 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\extend-37718a5f\node_modules
23920 silly gunzTarPerm extractEntry commands/database-remove.js
23921 silly gunzTarPerm modified mode [ 'commands/database-remove.js', 420, 438 ]
23922 silly gunzTarPerm extractEntry commands/serve.js
23923 silly gunzTarPerm modified mode [ 'commands/serve.js', 420, 438 ]
23924 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\jws-8bab7bc4\node_modules is being purged
23925 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\jws-8bab7bc4\node_modules
23926 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\negotiator-58d49245\node_modules is being purged
23927 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\negotiator-58d49245\node_modules
23928 silly gunzTarPerm extractEntry collection/foldl.js
23929 silly gunzTarPerm modified mode [ 'collection/foldl.js', 420, 438 ]
23930 silly gunzTarPerm extractEntry test/json-schema-draft4/maxProperties.json
23931 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/maxProperties.json', 420, 438 ]
23932 silly gunzTarPerm extractEntry test/json-schema-draft4/maximum.json
23933 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/maximum.json', 420, 438 ]
23934 silly gunzTarPerm extractEntry collection/pluck.js
23935 silly gunzTarPerm modified mode [ 'collection/pluck.js', 420, 438 ]
23936 silly gunzTarPerm extractEntry collection/pluck.js
23937 silly gunzTarPerm modified mode [ 'collection/pluck.js', 420, 438 ]
23938 silly gunzTarPerm extractEntry lib/rsvp/promise/race.js
23939 silly gunzTarPerm modified mode [ 'lib/rsvp/promise/race.js', 420, 438 ]
23940 silly gunzTarPerm extractEntry lib/rsvp/promise/reject.js
23941 silly gunzTarPerm modified mode [ 'lib/rsvp/promise/reject.js', 420, 438 ]
23942 silly gunzTarPerm extractEntry lib/providers/fs.js
23943 silly gunzTarPerm modified mode [ 'lib/providers/fs.js', 416, 438 ]
23944 silly gunzTarPerm extractEntry lib/providers/memory.js
23945 silly gunzTarPerm modified mode [ 'lib/providers/memory.js', 416, 438 ]
23946 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\registry-auth-token-74e6a02c\node_modules is being purged
23947 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\registry-auth-token-74e6a02c\node_modules
23948 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\portfinder-637cb189\node_modules is being purged
23949 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\portfinder-637cb189\node_modules
23950 silly gunzTarPerm extractEntry collection/pluck.js
23951 silly gunzTarPerm modified mode [ 'collection/pluck.js', 420, 438 ]
23952 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\boom-c60c0342\node_modules is being purged
23953 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\boom-c60c0342\node_modules
23954 silly gunzTarPerm extractEntry collection/findWhere.js
23955 silly gunzTarPerm modified mode [ 'collection/findWhere.js', 420, 438 ]
23956 silly gunzTarPerm extractEntry test/extract.js
23957 silly gunzTarPerm modified mode [ 'test/extract.js', 420, 438 ]
23958 silly gunzTarPerm extractEntry test/parse-discard.js
23959 silly gunzTarPerm modified mode [ 'test/parse-discard.js', 420, 438 ]
23960 silly gunzTarPerm extractEntry lib/copy/ncp.js
23961 silly gunzTarPerm modified mode [ 'lib/copy/ncp.js', 420, 438 ]
23962 silly gunzTarPerm extractEntry lib/move/index.js
23963 silly gunzTarPerm modified mode [ 'lib/move/index.js', 420, 438 ]
23964 silly gunzTarPerm extractEntry collection/findWhere.js
23965 silly gunzTarPerm modified mode [ 'collection/findWhere.js', 420, 438 ]
23966 silly gunzTarPerm extractEntry assignInWith.js
23967 silly gunzTarPerm modified mode [ 'assignInWith.js', 420, 438 ]
23968 silly gunzTarPerm extractEntry concat.js
23969 silly gunzTarPerm modified mode [ 'concat.js', 420, 438 ]
23970 silly gunzTarPerm extractEntry lib/formats/pkcs1.js
23971 silly gunzTarPerm modified mode [ 'lib/formats/pkcs1.js', 420, 438 ]
23972 silly gunzTarPerm extractEntry lib/formats/pkcs8.js
23973 silly gunzTarPerm modified mode [ 'lib/formats/pkcs8.js', 420, 438 ]
23974 silly gunzTarPerm extractEntry test/wrappers.js
23975 silly gunzTarPerm modified mode [ 'test/wrappers.js', 420, 438 ]
23976 silly gunzTarPerm extractEntry test/destroy_missing.js
23977 silly gunzTarPerm modified mode [ 'test/destroy_missing.js', 420, 438 ]
23978 silly gunzTarPerm extractEntry test/stringify_object.js
23979 silly gunzTarPerm modified mode [ 'test/stringify_object.js', 420, 438 ]
23980 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\debug-9213b557\node_modules is being purged
23981 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\debug-9213b557\node_modules
23982 silly gunzTarPerm extractEntry collection/findWhere.js
23983 silly gunzTarPerm modified mode [ 'collection/findWhere.js', 420, 438 ]
23984 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\depd-1dc81cbd\node_modules is being purged
23985 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\depd-1dc81cbd\node_modules
23986 silly gunzTarPerm extractEntry collection/reduce.js
23987 silly gunzTarPerm modified mode [ 'collection/reduce.js', 420, 438 ]
23988 silly gunzTarPerm extractEntry collection/reduce.js
23989 silly gunzTarPerm modified mode [ 'collection/reduce.js', 420, 438 ]
23990 silly gunzTarPerm extractEntry lib/winston/transports/daily-rotate-file.js
23991 silly gunzTarPerm modified mode [ 'lib/winston/transports/daily-rotate-file.js', 420, 438 ]
23992 silly gunzTarPerm extractEntry lib/winston/transports/file.js
23993 silly gunzTarPerm modified mode [ 'lib/winston/transports/file.js', 420, 438 ]
23994 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\valid-url-bd030fd5\node_modules is being purged
23995 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\valid-url-bd030fd5\node_modules
23996 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\firebase-84c8f2b4\node_modules is being purged
23997 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\firebase-84c8f2b4\node_modules
23998 silly gunzTarPerm extractEntry collection/reduce.js
23999 silly gunzTarPerm modified mode [ 'collection/reduce.js', 420, 438 ]
24000 silly gunzTarPerm extractEntry lib/output/index.js
24001 silly gunzTarPerm modified mode [ 'lib/output/index.js', 420, 438 ]
24002 silly gunzTarPerm extractEntry lib/remove/index.js
24003 silly gunzTarPerm modified mode [ 'lib/remove/index.js', 420, 438 ]
24004 silly gunzTarPerm extractEntry collection/findLast.js
24005 silly gunzTarPerm modified mode [ 'collection/findLast.js', 420, 438 ]
24006 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\archiver-dd82eb70\node_modules is being purged
24007 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\archiver-dd82eb70\node_modules
24008 silly gunzTarPerm extractEntry collection/findLast.js
24009 silly gunzTarPerm modified mode [ 'collection/findLast.js', 420, 438 ]
24010 silly gunzTarPerm extractEntry test/wrong_alg.tests.js
24011 silly gunzTarPerm modified mode [ 'test/wrong_alg.tests.js', 420, 438 ]
24012 silly gunzTarPerm extractEntry test/non_object_values.tests.js
24013 silly gunzTarPerm modified mode [ 'test/non_object_values.tests.js', 420, 438 ]
24014 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\rx-lite-5d2c3aba\node_modules is being purged
24015 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\rx-lite-5d2c3aba\node_modules
24016 silly gunzTarPerm extractEntry commands/database-push.js
24017 silly gunzTarPerm modified mode [ 'commands/database-push.js', 420, 438 ]
24018 silly gunzTarPerm extractEntry commands/tools-migrate.js
24019 silly gunzTarPerm modified mode [ 'commands/tools-migrate.js', 420, 438 ]
24020 silly gunzTarPerm extractEntry collection/findLast.js
24021 silly gunzTarPerm modified mode [ 'collection/findLast.js', 420, 438 ]
24022 silly gunzTarPerm extractEntry collection/reduceRight.js
24023 silly gunzTarPerm modified mode [ 'collection/reduceRight.js', 420, 438 ]
24024 silly gunzTarPerm extractEntry collection/reduceRight.js
24025 silly gunzTarPerm modified mode [ 'collection/reduceRight.js', 420, 438 ]
24026 silly gunzTarPerm extractEntry lib/cli/flags.js
24027 silly gunzTarPerm modified mode [ 'lib/cli/flags.js', 416, 438 ]
24028 silly gunzTarPerm extractEntry lib/cli/index.js
24029 silly gunzTarPerm modified mode [ 'lib/cli/index.js', 416, 438 ]
24030 silly gunzTarPerm extractEntry collection/reduceRight.js
24031 silly gunzTarPerm modified mode [ 'collection/reduceRight.js', 420, 438 ]
24032 silly gunzTarPerm extractEntry lib/rsvp/promise/resolve.js
24033 silly gunzTarPerm modified mode [ 'lib/rsvp/promise/resolve.js', 420, 438 ]
24034 silly gunzTarPerm extractEntry test/json-schema-draft4/minItems.json
24035 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/minItems.json', 420, 438 ]
24036 silly gunzTarPerm extractEntry test/json-schema-draft4/additionalProperties.json
24037 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/additionalProperties.json', 420, 438 ]
24038 silly gunzTarPerm extractEntry collection/find.js
24039 silly gunzTarPerm modified mode [ 'collection/find.js', 420, 438 ]
24040 silly gunzTarPerm extractEntry test/header.js
24041 silly gunzTarPerm modified mode [ 'test/header.js', 420, 438 ]
24042 silly gunzTarPerm extractEntry test/pack-no-proprietary.js
24043 silly gunzTarPerm modified mode [ 'test/pack-no-proprietary.js', 420, 438 ]
24044 silly gunzTarPerm extractEntry collection/find.js
24045 silly gunzTarPerm modified mode [ 'collection/find.js', 420, 438 ]
24046 silly gunzTarPerm extractEntry assignIn.js
24047 silly gunzTarPerm modified mode [ 'assignIn.js', 420, 438 ]
24048 silly gunzTarPerm extractEntry cond.js
24049 silly gunzTarPerm modified mode [ 'cond.js', 420, 438 ]
24050 silly gunzTarPerm extractEntry lib/formats/rfc4253.js
24051 silly gunzTarPerm modified mode [ 'lib/formats/rfc4253.js', 420, 438 ]
24052 silly gunzTarPerm extractEntry lib/formats/ssh-private.js
24053 silly gunzTarPerm modified mode [ 'lib/formats/ssh-private.js', 420, 438 ]
24054 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\websocket-extensions-69e9ea4e\node_modules is being purged
24055 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\websocket-extensions-69e9ea4e\node_modules
24056 silly gunzTarPerm extractEntry test/issues.js
24057 silly gunzTarPerm modified mode [ 'test/issues.js', 420, 438 ]
24058 silly gunzTarPerm extractEntry test/two-ways.js
24059 silly gunzTarPerm modified mode [ 'test/two-ways.js', 420, 438 ]
24060 silly gunzTarPerm extractEntry lib/output/index.js
24061 silly gunzTarPerm modified mode [ 'lib/output/index.js', 420, 438 ]
24062 silly gunzTarPerm extractEntry lib/remove/index.js
24063 silly gunzTarPerm modified mode [ 'lib/remove/index.js', 420, 438 ]
24064 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\async-73d1d7cb\node_modules is being purged
24065 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\async-73d1d7cb\node_modules
24066 silly gunzTarPerm extractEntry lib/winston/transports/http.js
24067 silly gunzTarPerm modified mode [ 'lib/winston/transports/http.js', 420, 438 ]
24068 silly gunzTarPerm extractEntry lib/winston/transports/memory.js
24069 silly gunzTarPerm modified mode [ 'lib/winston/transports/memory.js', 420, 438 ]
24070 silly gunzTarPerm extractEntry collection/find.js
24071 silly gunzTarPerm modified mode [ 'collection/find.js', 420, 438 ]
24072 silly gunzTarPerm extractEntry lib/util/assign.js
24073 silly gunzTarPerm modified mode [ 'lib/util/assign.js', 420, 438 ]
24074 silly gunzTarPerm extractEntry lib/util/utimes.js
24075 silly gunzTarPerm modified mode [ 'lib/util/utimes.js', 420, 438 ]
24076 silly gunzTarPerm extractEntry collection/reject.js
24077 silly gunzTarPerm modified mode [ 'collection/reject.js', 420, 438 ]
24078 silly gunzTarPerm extractEntry collection/reject.js
24079 silly gunzTarPerm modified mode [ 'collection/reject.js', 420, 438 ]
24080 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\through-58d5f14b\node_modules is being purged
24081 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\through-58d5f14b\node_modules
24082 silly gunzTarPerm extractEntry collection/reject.js
24083 silly gunzTarPerm modified mode [ 'collection/reject.js', 420, 438 ]
24084 silly gunzTarPerm extractEntry collection/filter.js
24085 silly gunzTarPerm modified mode [ 'collection/filter.js', 420, 438 ]
24086 silly gunzTarPerm extractEntry collection/filter.js
24087 silly gunzTarPerm modified mode [ 'collection/filter.js', 420, 438 ]
24088 silly gunzTarPerm extractEntry test/rsa-public-key.pem
24089 silly gunzTarPerm modified mode [ 'test/rsa-public-key.pem', 420, 438 ]
24090 silly gunzTarPerm extractEntry test/rsa-private.pem
24091 silly gunzTarPerm modified mode [ 'test/rsa-private.pem', 420, 438 ]
24092 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\http-signature-f15f5153\node_modules is being purged
24093 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\http-signature-f15f5153\node_modules
24094 silly gunzTarPerm extractEntry commands/database-get.js
24095 silly gunzTarPerm modified mode [ 'commands/database-get.js', 420, 438 ]
24096 silly gunzTarPerm extractEntry commands/use.js
24097 silly gunzTarPerm modified mode [ 'commands/use.js', 420, 438 ]
24098 silly gunzTarPerm extractEntry collection/filter.js
24099 silly gunzTarPerm modified mode [ 'collection/filter.js', 420, 438 ]
24100 silly gunzTarPerm extractEntry collection/sample.js
24101 silly gunzTarPerm modified mode [ 'collection/sample.js', 420, 438 ]
24102 silly gunzTarPerm extractEntry collection/sample.js
24103 silly gunzTarPerm modified mode [ 'collection/sample.js', 420, 438 ]
24104 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\jju-5829048d\node_modules is being purged
24105 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\jju-5829048d\node_modules
24106 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\sntp-6b6d4dec\node_modules is being purged
24107 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\sntp-6b6d4dec\node_modules
24108 silly gunzTarPerm extractEntry collection/sample.js
24109 silly gunzTarPerm modified mode [ 'collection/sample.js', 420, 438 ]
24110 silly gunzTarPerm extractEntry collection/every.js
24111 silly gunzTarPerm modified mode [ 'collection/every.js', 420, 438 ]
24112 silly gunzTarPerm extractEntry test/pack.js
24113 silly gunzTarPerm modified mode [ 'test/pack.js', 420, 438 ]
24114 silly gunzTarPerm extractEntry test/zz-cleanup.js
24115 silly gunzTarPerm modified mode [ 'test/zz-cleanup.js', 420, 438 ]
24116 silly gunzTarPerm extractEntry collection/every.js
24117 silly gunzTarPerm modified mode [ 'collection/every.js', 420, 438 ]
24118 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\lazystream-2e6160b4\node_modules is being purged
24119 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\lazystream-2e6160b4\node_modules
24120 silly gunzTarPerm extractEntry lib/cli/server.js
24121 silly gunzTarPerm modified mode [ 'lib/cli/server.js', 416, 438 ]
24122 silly gunzTarPerm extractEntry lib/utils/global-install.js
24123 silly gunzTarPerm modified mode [ 'lib/utils/global-install.js', 416, 438 ]
24124 silly gunzTarPerm extractEntry assign.js
24125 silly gunzTarPerm modified mode [ 'assign.js', 420, 438 ]
24126 silly gunzTarPerm extractEntry conforms.js
24127 silly gunzTarPerm modified mode [ 'conforms.js', 420, 438 ]
24128 silly gunzTarPerm extractEntry lib/winston/transports/transport.js
24129 silly gunzTarPerm modified mode [ 'lib/winston/transports/transport.js', 420, 438 ]
24130 silly gunzTarPerm extractEntry test/json-schema-draft4/minProperties.json
24131 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/minProperties.json', 420, 438 ]
24132 silly gunzTarPerm extractEntry test/json-schema-draft4/minimum.json
24133 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/minimum.json', 420, 438 ]
24134 silly gunzTarPerm extractEntry lib/formats/ssh.js
24135 silly gunzTarPerm modified mode [ 'lib/formats/ssh.js', 420, 438 ]
24136 silly gunzTarPerm extractEntry lib/formats/x509-pem.js
24137 silly gunzTarPerm modified mode [ 'lib/formats/x509-pem.js', 420, 438 ]
24138 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\tough-cookie-52f373cd\node_modules is being purged
24139 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\tough-cookie-52f373cd\node_modules
24140 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\rc-22a06403\node_modules is being purged
24141 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\rc-22a06403\node_modules
24142 silly gunzTarPerm extractEntry lib/winston/transports/webhook.js
24143 silly gunzTarPerm modified mode [ 'lib/winston/transports/webhook.js', 420, 438 ]
24144 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\compress-commons-3274206a\node_modules is being purged
24145 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\compress-commons-3274206a\node_modules
24146 silly gunzTarPerm extractEntry test/keys.js
24147 silly gunzTarPerm modified mode [ 'test/keys.js', 420, 438 ]
24148 silly gunzTarPerm extractEntry test/fixtures/all_npm.json
24149 silly gunzTarPerm modified mode [ 'test/fixtures/all_npm.json', 420, 438 ]
24150 silly gunzTarPerm extractEntry collection/every.js
24151 silly gunzTarPerm modified mode [ 'collection/every.js', 420, 438 ]
24152 silly gunzTarPerm extractEntry collection/select.js
24153 silly gunzTarPerm modified mode [ 'collection/select.js', 420, 438 ]
24154 silly gunzTarPerm extractEntry collection/select.js
24155 silly gunzTarPerm modified mode [ 'collection/select.js', 420, 438 ]
24156 silly gunzTarPerm extractEntry lib/streams/create-output-stream.js
24157 silly gunzTarPerm modified mode [ 'lib/streams/create-output-stream.js', 420, 438 ]
24158 silly gunzTarPerm extractEntry lib/streams/index.js
24159 silly gunzTarPerm modified mode [ 'lib/streams/index.js', 420, 438 ]
24160 silly gunzTarPerm extractEntry lib/walk/index.js
24161 silly gunzTarPerm modified mode [ 'lib/walk/index.js', 420, 438 ]
24162 silly gunzTarPerm extractEntry collection/select.js
24163 silly gunzTarPerm modified mode [ 'collection/select.js', 420, 438 ]
24164 silly gunzTarPerm extractEntry collection/eachRight.js
24165 silly gunzTarPerm modified mode [ 'collection/eachRight.js', 420, 438 ]
24166 silly gunzTarPerm extractEntry collection/eachRight.js
24167 silly gunzTarPerm modified mode [ 'collection/eachRight.js', 420, 438 ]
24168 silly gunzTarPerm extractEntry commands/help.js
24169 silly gunzTarPerm modified mode [ 'commands/help.js', 420, 438 ]
24170 silly gunzTarPerm extractEntry lib/accountImporter.js
24171 silly gunzTarPerm modified mode [ 'lib/accountImporter.js', 420, 438 ]
24172 silly gunzTarPerm extractEntry collection/eachRight.js
24173 silly gunzTarPerm modified mode [ 'collection/eachRight.js', 420, 438 ]
24174 silly gunzTarPerm extractEntry collection/shuffle.js
24175 silly gunzTarPerm modified mode [ 'collection/shuffle.js', 420, 438 ]
24176 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\base64url-53500b0c\node_modules is being purged
24177 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\base64url-53500b0c\node_modules
24178 silly gunzTarPerm extractEntry collection/shuffle.js
24179 silly gunzTarPerm modified mode [ 'collection/shuffle.js', 420, 438 ]
24180 silly gunzTarPerm extractEntry test/rsa-public.pem
24181 silly gunzTarPerm modified mode [ 'test/rsa-public.pem', 420, 438 ]
24182 silly gunzTarPerm extractEntry test/pub.pem
24183 silly gunzTarPerm modified mode [ 'test/pub.pem', 420, 438 ]
24184 silly gunzTarPerm extractEntry test/cb-never-called-1.0.1.tgz
24185 silly gunzTarPerm modified mode [ 'test/cb-never-called-1.0.1.tgz', 420, 438 ]
24186 silly gunzTarPerm extractEntry test/dir-normalization.tar
24187 silly gunzTarPerm modified mode [ 'test/dir-normalization.tar', 420, 438 ]
24188 silly gunzTarPerm extractEntry .jshintrc
24189 silly gunzTarPerm modified mode [ '.jshintrc', 493, 511 ]
24190 silly gunzTarPerm extractEntry test/cli-test.js
24191 silly gunzTarPerm modified mode [ 'test/cli-test.js', 420, 438 ]
24192 silly gunzTarPerm extractEntry collection/shuffle.js
24193 silly gunzTarPerm modified mode [ 'collection/shuffle.js', 420, 438 ]
24194 silly gunzTarPerm extractEntry collection/each.js
24195 silly gunzTarPerm modified mode [ 'collection/each.js', 420, 438 ]
24196 silly gunzTarPerm extractEntry collection/each.js
24197 silly gunzTarPerm modified mode [ 'collection/each.js', 420, 438 ]
24198 silly gunzTarPerm extractEntry ary.js
24199 silly gunzTarPerm modified mode [ 'ary.js', 420, 438 ]
24200 silly gunzTarPerm extractEntry conformsTo.js
24201 silly gunzTarPerm modified mode [ 'conformsTo.js', 420, 438 ]
24202 silly gunzTarPerm extractEntry test/json-schema-draft4/multipleOf.json
24203 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/multipleOf.json', 420, 438 ]
24204 silly gunzTarPerm extractEntry test/json-schema-draft4/not.json
24205 silly gunzTarPerm modified mode [ 'test/json-schema-draft4/not.json', 420, 438 ]
24206 silly gunzTarPerm extractEntry lib/formats/x509.js
24207 silly gunzTarPerm modified mode [ 'lib/formats/x509.js', 420, 438 ]
24208 silly gunzTarPerm extractEntry man/man1/sshpk-conv.1
24209 silly gunzTarPerm modified mode [ 'man/man1/sshpk-conv.1', 420, 438 ]
24210 silly gunzTarPerm extractEntry lib/utils/global-resolve.js
24211 silly gunzTarPerm modified mode [ 'lib/utils/global-resolve.js', 416, 438 ]
24212 silly gunzTarPerm extractEntry lib/utils/npm-paths.js
24213 silly gunzTarPerm modified mode [ 'lib/utils/npm-paths.js', 416, 438 ]
24214 silly gunzTarPerm extractEntry collection/each.js
24215 silly gunzTarPerm modified mode [ 'collection/each.js', 420, 438 ]
24216 silly gunzTarPerm extractEntry collection/size.js
24217 silly gunzTarPerm modified mode [ 'collection/size.js', 420, 438 ]
24218 silly gentlyRm C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\minimist-6184e0b6\node_modules is being purged
24219 verbose gentlyRm don't care about contents; nuking C:\Users\dff\AppData\Roaming\npm\node_modules\.staging\minimist-6184e0b6\node_modules
24220 silly gunzTarPerm extractEntry collection/size.js
